Level 1,Level 1 Description,Level 2 (MH),Level 2 Description
,,Complaints,"Select this intent when customers raise complaints that are not tied to specific order-related issues or lack a clear resolution, such as when an agent can only apologize or thank the customer without resolving the issue. This includes general dissatisfaction with service, repeated issues, confusion with app features, or broader company-related complaints. It also includes complaints about incorrect order preparation, confusion or delays in the ordering or preparation process, and dissatisfaction with missing app features or services. This intent also applies to complaints about orders being canceled without notification, issues related to outlet facilities, or concerns about the terms and conditions of promotions, vouchers, or gift cards. Additionally, it covers instances where outlets turn away walk-in customers or customers complain about company-related information. This excludes complaints about hygiene, quality, or matters specifically related to barista performance."
Inquiries & Suggestions,"Select this when customers inquire about ZUS outlets, including information on launch/opening dates, operating hours, location, parking, or assistance with lost items. Use this for inquiries about the menu, product details, nutrition, options/add-ons, similar products, potential allergies, or any feedback or suggestions related to food, drinks, pastries, cakes, recipes, and ZUS merchandise, including ideas for new offerings. Choose this for questions regarding FAQs, loyalty points, vouchers, promotions, discounts, membership benefits, or redemption methods, excluding reports of missing or incorrect points or vouchers. Use this when customers provide positive feedback or praise about ZUS staff, products, services, specific outlets, or the overall brand experience, excluding suggestions. Select this for customer suggestions on new outlet locations, reasons for not opening in certain areas, or expansion requests. Use this for inquiries about franchising or investing in ZUS franchises, including how to become a franchisee. Select this for inquiries about business partnerships, sponsorships, collaborations, or opportunities for ZUS to work with others. Finally, choose this when customers want to offer products or services to ZUS or inquire about becoming a supplier.",Outlet Details,"Select this when customers inquire about ZUS related outlet, place, location and information such as launch/opening data, operating hours, location, parking, or ask for assistance with lost items left at the outlet."
,,Product / Menu Details,"Select this when customers inquire about the menu, product details, nutrition, similar products, options/add ons and potential allergies
"
,,Inquiry / Method,"Select this when customers inquire about FAQs, loyalty points, vouchers, or promotions without reporting any issues. This includes general questions about available discounts, membership benefits, or redemption methods. Exclude cases where loyalty points or vouchers are missing or incorrect."
,,Compliment (WOW),"Select this when customers provide positive feedback or praise regarding ZUS. This includes compliments about ZUS staff, products, services, specific outlets, or the overall brand experience. Exclude suggestions."
,,Product,"Select this when customers give twist, improvements, feedback or suggestions specifically about food, drinks, pastries, cakes, recipes or ZUS Merchandise. This includes opinions on current products and ideas for new offerings, product options or menu related.
"
,,Suggestion - New Outlet,Select this when customers suggest new location for ZUS outlets or inquire why ZUS is not opening in certain locations. This includes requests for expansion/opening at a specific areas.
,,Franchise,Select this when customers enquire about franchising ZUS or express interest in investing in a ZUS franchise. This includes questions about how to become a franchisee or invest in the franchise.
,,Partnership / Sponsor,"Select this when customers reach out to enquire about working with ZUS or seek sponsorship from ZUS. This includes requests for business partnerships, collaborations, or sponsorship opportunities.
"
,,Products / Suppliers,"Select this when the customer wants to offer products, services to ZUS coffee or want to know more how they can become a supplier to ZUS coffee"
Account & Contact Management,"Select this category when customers request changes or updates to their account information, such as updating their contact details (e.g., phone number or email address), even if OTP verification is involved, or when they wish to unsubscribe from promotional emails or notifications. Also, use this category when customers inquire about or request the withdrawal of their ZUS balance, including updates on the withdrawal status or instructions on the withdrawal process. Exclude cases related to OTP failures, issues with loyalty programs, ZUS balance discrepancies, refunds, or gift card redemption, even if contact details are mentioned in those scenarios.",Change / Update Info,"Select this when customers mention that they want to change their phone number or email on their account. This includes scenarios where the customer requests to update their contact information such as a phone number or email, even if OTP verification is involved. Exclude cases where contact details are mentioned as part of troubleshooting loyalty-related problems, even if phone number verification is required to resolve the issue. Exclude cases where the update is needed to resolve issues related to gift card redemption, or where the primary issue is an OTP failure or redeeming a gift card."
,,Unsubscribe,"Select this when customers mention that they want to be removed or unsubscribed from the promotional email/notification list. This includes situations where the customer explicitly requests to stop receiving promotional communications.
"
,,ZUS Balance Withdrawal,"Select this when customers inquire about or request assistance with withdrawing their ZUS Balance. This includes questions about the status or updates on balance withdrawal requests, instructions on how to withdraw their balance, and procedural information related to the withdrawal process. This intent is focused on handling the procedural aspects of withdrawing funds from the ZUS account. This intent excludes issues related to discrepancies in ZUS Balance, refunds, loyalty points or vouchers."
General Complaints & Employee Welfare,"Select this intent when customers raise complaints that are not tied to specific order-related issues or lack a clear resolution, such as when an agent can only apologize or thank the customer without being able to resolve the issue. This includes complaints about incorrect order preparation, repeated occurrences of the same problem, confusion or delays in the ordering or preparation process, dissatisfaction with missing app features or services, orders canceled without notification, and issues related to outlet facilities. It also covers complaints about the terms and conditions of promotions, vouchers, or gift cards, including cases of invalid vouchers due to order changes, unclear restrictions, capped discounts, short promotion durations, or misleading information across platforms or social media. Additionally, this intent applies to complaints regarding company-related information, outlets turning away walk-in customers, and slow order preparation times, particularly when they exceed 20 minutes but are under 45 minutes. Complaints about receiving incorrect or confusing information from baristas regarding menu items or ingredients are also included, even when the information was technically accurate. For employee-related complaints (Retail Ops), this intent covers issues reported by current or ex-employees, affiliates, or staff regarding sexual harassment, work environment, company culture, management, or pay/salary concerns. Complaints about hygiene or quality issues are excluded.",Complaints,"Select this intent when customers raise complaints that are not tied to specific order-related issues or lack a clear resolution, such as when an agent can only apologize or thank the customer without resolving the issue. It includes complaints about incorrect order preparation, repeated occurrences of the same problem, confusion or delays in the ordering or preparation process, and dissatisfaction with missing app features or services. This intent also applies to complaints about orders being canceled without notification, issues related to outlet facilities, or concerns about the terms and conditions of promotions, vouchers, or gift cards. Additionally, it covers instances where outlets turn away walk-in customers or customers complain about company-related information. This excludes complaints regarding hygiene or quality issues."
,,Employee Welfare (Retail Ops),"Select this when current or ex-employees, affiliates, or staff members complain about working with ZUS or other ZUS staff. This includes complaints about sexual harassment, work environment, culture, management, or pay/salary issues."
,,Misleading / Dissatisfaction,"Select this when customers express dissatisfaction due to misleading information or unmet expectations regarding vouchers, promotions, or terms and conditions. This includes issues like invalid vouchers due to order changes, restrictions not clearly communicated, capped discounts, short promotion durations, misleading social media posts or discrepancies between terms on different platforms. This excludes scenarios where user missed out or forgot to apply their vouchers.
"
,,Incorrect / Misleading Info,"Select this when customers complain about receiving incorrect, confusing, incomplete, misleading information from baristas regarding menu items, ingredients, or other details, even if the information provided was actually correct."
,,Slow Order Preparation,"Select this when customers complain about long wait times for their order to be prepared, particularly when the preparation time exceeds 20 minutes but is less than 45 minutes. "
